"Badge","Description","ImageIndex","Row","Column","Meta","OutputFile"
"MONSTERS_SLAIN_1","10 enemies slain","0","0","0","False","MONSTERS_SLAIN_1.png"
"MONSTERS_SLAIN_2","50 enemies slain","1","0","1","False","MONSTERS_SLAIN_2.png"
"MONSTERS_SLAIN_3","150 enemies slain","2","0","2","False","MONSTERS_SLAIN_3.png"
"MONSTERS_SLAIN_4","250 enemies slain","3","0","3","False","MONSTERS_SLAIN_4.png"
"GOLD_COLLECTED_1","100 gold collected","4","0","4","False","GOLD_COLLECTED_1.png"
"GOLD_COLLECTED_2","500 gold collected","5","0","5","False","GOLD_COLLECTED_2.png"
"GOLD_COLLECTED_3","2500 gold collected","6","0","6","False","GOLD_COLLECTED_3.png"
"GOLD_COLLECTED_4","7500 gold collected","7","0","7","False","GOLD_COLLECTED_4.png"
"LEVEL_REACHED_1","Level 6 reached","8","1","0","False","LEVEL_REACHED_1.png"
"LEVEL_REACHED_2","Level 12 reached","9","1","1","False","LEVEL_REACHED_2.png"
"LEVEL_REACHED_3","Level 18 reached","10","1","2","False","LEVEL_REACHED_3.png"
"LEVEL_REACHED_4","Level 24 reached","11","1","3","False","LEVEL_REACHED_4.png"
"BOSS_SLAIN_1","1st boss slain","12","1","4","False","BOSS_SLAIN_1.png"
"BOSS_SLAIN_2","2nd boss slain","13","1","5","False","BOSS_SLAIN_2.png"
"BOSS_SLAIN_3","3rd boss slain","14","1","6","False","BOSS_SLAIN_3.png"
"BOSS_SLAIN_4","4th boss slain","15","1","7","False","BOSS_SLAIN_4.png"
"ALL_POTIONS_IDENTIFIED","All potions identified","16","2","0","False","ALL_POTIONS_IDENTIFIED.png"
"ALL_SCROLLS_IDENTIFIED","All scrolls identified","17","2","1","False","ALL_SCROLLS_IDENTIFIED.png"
"ALL_RINGS_IDENTIFIED","All rings identified","18","2","2","False","ALL_RINGS_IDENTIFIED.png"
"ALL_WANDS_IDENTIFIED","All wands identified","19","2","3","False","ALL_WANDS_IDENTIFIED.png"
"RING_OF_HAGGLER","Ring of Haggler obtained","20","2","4","False","RING_OF_HAGGLER.png"
"RING_OF_THORNS","Ring of Thorns obtained","21","2","5","False","RING_OF_THORNS.png"
"VICTORY","Amulet of Yendor obtained","22","2","6","False","VICTORY.png"
"ALL_BAGS_BOUGHT","All bags bought","23","2","7","False","ALL_BAGS_BOUGHT.png"
"DEATH_FROM_FIRE","Death from fire","24","3","0","False","DEATH_FROM_FIRE.png"
"DEATH_FROM_POISON","Death from poison","25","3","1","False","DEATH_FROM_POISON.png"
"DEATH_FROM_GAS","Death from toxic gas","26","3","2","False","DEATH_FROM_GAS.png"
"DEATH_FROM_HUNGER","Death from hunger","27","3","3","False","DEATH_FROM_HUNGER.png"
"NO_MONSTERS_SLAIN","Level completed without killing any monsters","28","3","4","False","NO_MONSTERS_SLAIN.png"
"GRIM_WEAPON","Monster killed by a Grim weapon","29","3","5","False","GRIM_WEAPON.png"
"PIRANHAS","6 piranhas killed","30","3","6","False","PIRANHAS.png"
"SUPPORTER","Thanks for your support!","31","3","7","True","SUPPORTER.png"
"BOSS_SLAIN_1_ALL_CLASSES","1st boss slain by Warrior, Mage, Rogue & Huntress","32","4","0","True","BOSS_SLAIN_1_ALL_CLASSES.png"
"BOSS_SLAIN_3_ALL_SUBCLASSES","3rd boss slain by Gladiator, Berserker, Warlock, Battlemage, Freerunner, Assassin, Sniper & Warden","33","4","1","True","BOSS_SLAIN_3_ALL_SUBCLASSES.png"
"YASD","Death from fire, poison, toxic gas & hunger","34","4","2","True","YASD.png"
"ALL_ITEMS_IDENTIFIED","All potions, scrolls, rings & wands identified","35","4","3","True","ALL_ITEMS_IDENTIFIED.png"
"VICTORY_ALL_CLASSES","Amulet of Yendor obtained by Warrior, Mage, Rogue & Huntress","36","4","4","True","VICTORY_ALL_CLASSES.png"
"RARE","All rare monsters slain","37","4","5","True","RARE.png"
"HAPPY_END","Happy end","38","4","6","False","HAPPY_END.png"
"CHAMPION","Challenge won","39","4","7","True","CHAMPION.png"
"STRENGTH_ATTAINED_1","13 points of Strength attained","40","5","0","False","STRENGTH_ATTAINED_1.png"
"STRENGTH_ATTAINED_2","15 points of Strength attained","41","5","1","False","STRENGTH_ATTAINED_2.png"
"STRENGTH_ATTAINED_3","17 points of Strength attained","42","5","2","False","STRENGTH_ATTAINED_3.png"
"STRENGTH_ATTAINED_4","19 points of Strength attained","43","5","3","False","STRENGTH_ATTAINED_4.png"
"FOOD_EATEN_1","10 pieces of food eaten","44","5","4","False","FOOD_EATEN_1.png"
"FOOD_EATEN_2","20 pieces of food eaten","45","5","5","False","FOOD_EATEN_2.png"
"FOOD_EATEN_3","30 pieces of food eaten","46","5","6","False","FOOD_EATEN_3.png"
"FOOD_EATEN_4","40 pieces of food eaten","47","5","7","False","FOOD_EATEN_4.png"
"ITEM_LEVEL_1","Item of level 3 acquired","48","6","0","False","ITEM_LEVEL_1.png"
"ITEM_LEVEL_2","Item of level 6 acquired","49","6","1","False","ITEM_LEVEL_2.png"
"ITEM_LEVEL_3","Item of level 9 acquired","50","6","2","False","ITEM_LEVEL_3.png"
"ITEM_LEVEL_4","Item of level 12 acquired","51","6","3","False","ITEM_LEVEL_4.png"
"POTIONS_COOKED_1","3 potions cooked","52","6","4","False","POTIONS_COOKED_1.png"
"POTIONS_COOKED_2","6 potions cooked","53","6","5","False","POTIONS_COOKED_2.png"
"POTIONS_COOKED_3","9 potions cooked","54","6","6","False","POTIONS_COOKED_3.png"
"POTIONS_COOKED_4","12 potions cooked","55","6","7","False","POTIONS_COOKED_4.png"
"MASTERY_COMBO","7-hit combo","56","7","0","False","MASTERY_COMBO.png"
"DEATH_FROM_GLYPH","Death from an enchantment","57","7","1","False","DEATH_FROM_GLYPH.png"
"NIGHT_HUNTER","15 monsters killed at nighttime","58","7","2","False","NIGHT_HUNTER.png"
"DEATH_FROM_FALLING","Death from falling down","59","7","3","False","DEATH_FROM_FALLING.png"
"GAMES_PLAYED_1","10 games played","60","7","4","True","GAMES_PLAYED_1.png"
"GAMES_PLAYED_2","100 games played","61","7","5","True","GAMES_PLAYED_2.png"
"GAMES_PLAYED_3","500 games played","62","7","6","True","GAMES_PLAYED_3.png"
"GAMES_PLAYED_4","2000 games played","63","7","7","True","GAMES_PLAYED_4.png"
