!!!	actors.mobs.goo.!!!	%21%21%21
#$%^	actors.mobs.mob.rage	%23%24%25%5E
%arg% burns up!	actors.buffs.burning.burnsup	%25s%20burns%20up%21
%arg% hit combo!	actors.buffs.combo.combo	%25d%20hit%20combo%21
%arg% killed you...	actors.char.kill	%25s%20killed%20you...
%arg% of affection	items.armor.glyphs.affection.name	%25s%20of%20affection
%arg% of anti-entropy	items.armor.curses.antientropy.name	%25s%20of%20anti-entropy
%arg% of displacement	items.armor.curses.displacement.name	%25s%20of%20displacement
%arg% of entanglement	items.armor.glyphs.entanglement.name	%25s%20of%20entanglement
%arg% of metabolism	items.armor.curses.metabolism.name	%25s%20of%20metabolism
%arg% of multiplicity	items.armor.curses.multiplicity.name	%25s%20of%20multiplicity
%arg% of potential	items.armor.glyphs.potential.name	%25s%20of%20potential
%arg% of stench	items.armor.curses.stench.name	%25s%20of%20stench
%arg% of viscosity	items.armor.glyphs.viscosity.name	%25s%20of%20viscosity
...	actors.hero.hero.wait	...
???	levels.level.default_name	%3F%3F%3F
a ramp leads down to the lower depth.	levels.citylevel.exit_desc	A%20ramp%20leads%20down%20to%20the%20lower%20depth.
a sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	plants.sorrowmoss.desc	A%20Sorrowmoss%20is%20a%20flower%20%28not%20a%20moss%29%20with%20razor-sharp%20petals%2C%20coated%20with%20a%20deadly%20venom.
a vein of some ore is visible on the wall. gold?	levels.caveslevel.wall_deco_desc	A%20vein%20of%20some%20ore%20is%20visible%20on%20the%20wall.%20Gold%3F
about	scenes.titlescene.about	About
acidic scorpio	actors.mobs.acidic.name	acidic%20scorpio
activate	items.artifacts.timekeepershourglass.ac_activate	Activate
alarm trap	levels.traps.alarmtrap.name	Alarm%20trap
albino rat	actors.mobs.albino.name	albino%20rat
ambitious imp	actors.mobs.npcs.imp.name	Ambitious%20imp
ambitious imp	actors.mobs.npcs.imp.name	ambitious%20imp
amok	actors.buffs.amok.name	amok
amulet of yendor	items.amulet.name	Amulet%20of%20Yendor
animated statue	actors.mobs.statue.name	Animated%20statue
animated statue	actors.mobs.statue.name	animated%20statue
ankh	items.ankh.name	Ankh
